agent,backend,n,instance,success,seconds
zeroclaw,cloud,1,1,pass,13.55
zeroclaw,cloud,2,1,pass,9.30
zeroclaw,cloud,2,2,pass,9.28
zeroclaw,cloud,4,1,pass,8.86
zeroclaw,cloud,4,2,pass,8.31
zeroclaw,cloud,4,3,pass,11.06
zeroclaw,cloud,4,4,pass,12.48
zeroclaw,cloud,8,1,pass,11.80
zeroclaw,cloud,8,2,pass,12.91
zeroclaw,cloud,8,3,pass,10.69
zeroclaw,cloud,8,4,pass,12.83
zeroclaw,cloud,8,5,pass,12.58
zeroclaw,cloud,8,6,pass,12.02
zeroclaw,cloud,8,7,pass,11.35
zeroclaw,cloud,8,8,pass,12.33
picoclaw,cloud,1,1,pass,13.51
picoclaw,cloud,2,1,pass,14.41
picoclaw,cloud,2,2,pass,14.07
picoclaw,cloud,4,1,pass,7.26
picoclaw,cloud,4,2,pass,6.90
picoclaw,cloud,4,3,pass,5.72
picoclaw,cloud,4,4,pass,8.23
picoclaw,cloud,8,1,pass,8.43
picoclaw,cloud,8,2,pass,8.62
picoclaw,cloud,8,3,pass,12.32
picoclaw,cloud,8,4,pass,8.72
picoclaw,cloud,8,5,pass,12.48
picoclaw,cloud,8,6,pass,8.51
picoclaw,cloud,8,7,pass,12.74
picoclaw,cloud,8,8,pass,13.78
nanobot,cloud,1,1,pass,17.53
nanobot,cloud,2,1,pass,15.94
nanobot,cloud,2,2,pass,14.87
nanobot,cloud,4,1,pass,19.63
nanobot,cloud,4,2,pass,19.62
nanobot,cloud,4,3,pass,29.50
nanobot,cloud,4,4,pass,29.97
nanobot,cloud,8,1,pass,30.61
nanobot,cloud,8,2,pass,30.44
nanobot,cloud,8,3,pass,31.04
nanobot,cloud,8,4,pass,31.12
nanobot,cloud,8,5,pass,29.51
nanobot,cloud,8,6,pass,28.50
nanobot,cloud,8,7,pass,31.22
nanobot,cloud,8,8,pass,27.50
smolagents,cloud,1,1,pass,14.12
smolagents,cloud,2,1,pass,16.33
smolagents,cloud,2,2,pass,18.71
smolagents,cloud,4,1,pass,25.44
smolagents,cloud,4,2,pass,16.70
smolagents,cloud,4,3,pass,16.52
smolagents,cloud,4,4,pass,17.55
smolagents,cloud,8,1,pass,19.81
smolagents,cloud,8,2,pass,19.94
smolagents,cloud,8,3,pass,31.22
smolagents,cloud,8,4,pass,23.86
smolagents,cloud,8,5,pass,19.85
smolagents,cloud,8,6,pass,22.94
smolagents,cloud,8,7,pass,22.06
smolagents,cloud,8,8,pass,19.69
