agent,backend,task,trial,success,seconds,peak_mem_mb,notes
zeroclaw,cloud,task1,1,pass,8.05,20.3,rerun
zeroclaw,cloud,task1,2,pass,7.69,20.3,rerun
zeroclaw,cloud,task1,3,pass,8.74,20.4,rerun
zeroclaw,cloud,task1,4,pass,7.46,20.2,rerun
zeroclaw,cloud,task1,5,pass,7.42,20.4,rerun
zeroclaw,cloud,task2,1,pass,12.49,20.7,rerun
zeroclaw,cloud,task2,2,pass,9.35,20.5,rerun
zeroclaw,cloud,task2,3,pass,11.87,20.6,rerun
zeroclaw,cloud,task2,4,pass,11.78,20.6,rerun
zeroclaw,cloud,task2,5,pass,13.48,20.6,rerun
zeroclaw,cloud,task3,1,pass,19.67,20.7,rerun
zeroclaw,cloud,task3,2,pass,31.44,21.1,rerun
zeroclaw,cloud,task3,3,pass,15.95,20.9,rerun
zeroclaw,cloud,task3,4,pass,19.01,20.8,rerun
zeroclaw,cloud,task3,5,pass,19.20,20.9,rerun
zeroclaw,cloud,task4,1,pass,19.32,20.7,rerun
zeroclaw,cloud,task4,2,pass,16.28,20.8,rerun
zeroclaw,cloud,task4,3,pass,13.75,20.8,rerun
zeroclaw,cloud,task4,4,pass,16.56,20.9,rerun
zeroclaw,cloud,task4,5,pass,16.94,20.8,rerun
zeroclaw,cloud,task5,1,pass,7.60,20.4,memory-recall-rerun
zeroclaw,cloud,task5,2,pass,6.63,20.5,memory-recall-rerun
zeroclaw,cloud,task5,3,pass,7.44,20.2,memory-recall-rerun
zeroclaw,cloud,task5,4,pass,6.82,20.2,memory-recall-rerun
zeroclaw,cloud,task5,5,pass,7.19,20.4,memory-recall-rerun
